Binomial,Range size (sq km),Log10 range size,Body mass (g),Log10 body mass,Population density (individuals/ha),Log10 population density,Study area (ha),Log10 study area,iqr mean annual temperature,iqr precipitation,iqr seasonality,iqr altitude,iqr NPP,iqr solar radiation,Diet (Proxy for Trophic level),Biogeographical realm,Range size within biogeographical realm (sq km),Population density and study area reference,Taxonomic group
Cercomacra tyrannina,3170778.383,6.501,16.300,1.212,0.020,-1.710,2.500,0.398,263.000,2376.000,550.000,163.000,11.988,47.867,Carnivorous,Neotropic,3164923.431,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Cercomela familiaris,7293145.143,6.863,19.450,1.289,0.020,-1.699,100.000,2.000,216.000,895.000,2286.000,934.000,11.631,65.308,Carnivorous,Afrotropic,7293052.346,"Winterbottom, J. M. (1946) The density of Karroo birds. Ostrich 17: 172-176.",Birds
Cercomela schlegelii,1145275.978,6.059,23.300,1.367,0.166,-0.781,20.000,1.301,179.000,221.000,4495.000,996.000,10.924,78.825,Carnivorous,Afrotropic,1145137.579,"Dean, W. R. J. (1995) Where birds are rare or fill the air: the protection of the endemic and the nomadic avifaunas of the Karoo. PhD thesis, Zoology Dept, University of Cape Town.",Birds
Cercomela sinuata,793327.441,5.899,18.100,1.258,0.074,-1.130,8.720,0.941,167.000,297.500,4872.000,1124.500,11.037,77.192,Carnivorous,Afrotropic,793343.366,"Winterbottom, J. M. (1946) The density of Karroo birds. Ostrich 17: 172-176.",Birds
Cercomela tractrac,1019194.821,6.008,20.800,1.318,0.022,-1.654,20.000,1.301,186.000,204.000,4567.500,1001.000,10.900,79.725,Carnivorous,Afrotropic,1019098.271,"Winterbottom, J. M. (1946) The density of Karroo birds. Ostrich 17: 172-176.",Birds
Cercotrichas podobe,3789389.753,6.579,23.910,1.379,0.168,-0.776,0.346,-0.461,281.000,238.000,3164.000,367.000,10.752,71.442,Carnivorous,Afrotropic,3313139.815,"Jones, P., Vickery, J., Holt, S. and Cresswell, W. (1996) A preliminary assessment of some factors influencing the density and distribution of palearctic passerine migrants wintering in the Sahel zone of West Africa. Bird Study 43: 73-84.",Birds
Certhilauda albescens,283795.357,5.453,30.400,1.483,0.014,-1.857,20.000,1.301,161.000,247.000,4498.000,910.000,10.973,74.904,Carnivorous,Afrotropic,283794.881,"Dean, W. R. J. (1995) Where birds are rare or fill the air: the protection of the endemic and the nomadic avifaunas of the Karoo. PhD thesis, Zoology Dept, University of Cape Town.",Birds
Certhilauda curvirostris,63470.799,4.803,40.410,1.606,0.034,-1.472,20.000,1.301,166.000,319.500,3039.000,177.500,10.968,72.808,Carnivorous,Afrotropic,63468.938,"Dean, W. R. J. (1995) Where birds are rare or fill the air: the protection of the endemic and the nomadic avifaunas of the Karoo. PhD thesis, Zoology Dept, University of Cape Town.",Birds
Ceyx pictus,13894544.830,7.143,12.720,1.104,0.020,-1.699,100.000,2.000,246.000,1126.000,1394.500,555.000,11.747,61.587,Carnivorous,Afrotropic,13894270.160,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Chamaeza nobilis,2594365.375,6.414,123.000,2.090,0.040,-1.398,97.000,1.987,259.000,2434.500,462.000,150.000,11.990,39.933,Carnivorous,Neotropic,2594374.883,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Chelidoptera tenebrosa,8689827.080,6.939,35.900,1.555,0.004,-2.398,2.500,0.398,259.000,2098.000,544.000,188.000,11.987,45.775,Carnivorous,Neotropic,8685813.093,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Chersomanes albofasciata,2399719.563,6.380,24.610,1.391,10.850,1.035,20.000,1.301,193.000,370.000,4218.000,1135.000,11.096,76.117,Carnivorous,Afrotropic,2399733.575,"Winterbottom, J. M. (1946) The density of Karroo birds. Ostrich 17: 172-176.",Birds
Chlorestes notata,4700531.953,6.672,4.200,0.623,0.009,-2.046,2.500,0.398,263.000,2259.500,487.000,126.000,11.992,45.817,Herbivorous,Neotropic,4696900.756,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Chloroceryle aenea,9332228.153,6.970,13.750,1.138,0.030,-1.523,97.000,1.987,258.000,2077.000,581.000,183.000,11.983,46.767,Carnivorous,Neotropic,9322773.034,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Chloroceryle amazona,14157089.670,7.151,126.380,2.102,0.006,-2.222,2.500,0.398,253.000,1725.000,775.000,210.000,11.913,50.479,Omnivorous,Neotropic,14143586.280,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Chloroceryle inda,8573825.050,6.933,52.100,1.717,0.010,-2.000,97.000,1.987,259.000,2130.000,543.000,176.000,11.986,45.392,Carnivorous,Neotropic,8567841.553,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Chlorocichla flaviventris,3985755.538,6.601,39.360,1.595,425.880,2.629,100.000,2.000,220.000,937.000,2281.000,1027.000,11.736,64.833,Omnivorous,Afrotropic,3985740.170,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Chlorophanes spiza,7921093.023,6.899,19.000,1.279,0.050,-1.301,180.000,2.255,257.000,2222.000,517.000,184.000,11.990,43.954,Herbivorous,Neotropic,7914834.271,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Chlorostilbon mellisugus,4111753.023,6.614,2.610,0.417,0.018,-1.745,2.500,0.398,258.000,2161.000,571.000,181.000,11.983,46.154,Herbivorous,Neotropic,4106132.692,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Chrysococcyx klaas,14137271.720,7.150,27.370,1.437,0.012,-1.939,100.000,2.000,243.000,1114.000,1451.000,583.000,11.743,61.633,Carnivorous,Afrotropic,14136778.870,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Chrysuronia oenone,1336392.635,6.126,5.040,0.702,0.050,-1.301,97.000,1.987,255.000,2273.000,520.000,265.000,11.981,41.608,Herbivorous,Neotropic,1335851.600,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Cinnyricinclus leucogaster,9925404.774,6.997,44.000,1.643,0.094,-1.027,100.000,2.000,241.000,924.000,2020.000,679.000,11.634,65.825,Herbivorous,Afrotropic,9925366.088,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Circus macrourus,6164691.954,6.790,384.360,2.585,0.340,-0.469,0.346,-0.461,35.000,405.000,12737.000,196.000,11.144,46.800,Carnivorous,Palearctic,6159624.519,"Jones, P., Vickery, J., Holt, S. and Cresswell, W. (1996) A preliminary assessment of some factors influencing the density and distribution of palearctic passerine migrants wintering in the Sahel zone of West Africa. Bird Study 43: 73-84.",Birds
Cisticola aberrans,2548598.228,6.406,14.210,1.153,1.800,0.255,100.000,2.000,216.000,868.000,2395.000,902.500,11.660,64.971,Carnivorous,Afrotropic,2548495.651,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Cisticola carruthersi,174331.943,5.241,11.240,1.051,30.000,1.477,1.000,0.000,207.000,1263.000,382.000,1340.000,11.876,48.158,Carnivorous,Afrotropic,174332.360,"Britton, P. L. (1978) Seasonality, density and diversity of birds of a papyrus swamp in western Kenya. Ibis 120: 450-464.",Birds
Cisticola chiniana,6716033.977,6.827,16.140,1.208,0.500,-0.301,100.000,2.000,221.000,958.000,1922.000,1027.000,11.742,64.058,Carnivorous,Afrotropic,6716020.752,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Cisticola fulvicapilla,4604429.395,6.663,8.240,0.916,0.300,-0.523,100.000,2.000,212.000,794.000,2859.000,1044.000,11.644,67.496,Carnivorous,Afrotropic,4604364.474,"Tarboton, W. R. (1980) Avan populations in the Transvaal savanna. Proc. IV Pan-Afr. Orn. Congr. 113-124.",Birds
Cisticola juncidis,18017380.280,7.256,6.810,0.833,0.120,-0.921,0.346,-0.461,225.000,1040.000,3540.000,415.000,11.508,60.579,Carnivorous,Indo-Malay,7357788.952,"Jones, P., Vickery, J., Holt, S. and Cresswell, W. (1996) A preliminary assessment of some factors influencing the density and distribution of palearctic passerine migrants wintering in the Sahel zone of West Africa. Bird Study 43: 73-84.",Birds
Cisticola natalensis,8117359.026,6.909,16.440,1.216,0.020,-1.699,100.000,2.000,235.000,1127.000,1354.000,749.000,11.756,61.308,Carnivorous,Afrotropic,8117356.291,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Cisticola rufilatus,2748564.784,6.439,11.300,1.053,0.160,-0.796,100.000,2.000,208.000,705.000,3143.000,1134.000,11.563,70.775,Carnivorous,Afrotropic,2748623.395,"Tarboton, W. R. (1980) Avan populations in the Transvaal savanna. Proc. IV Pan-Afr. Orn. Congr. 113-124.",Birds
Cisticola subruficapilla,910757.955,5.959,9.920,0.997,0.006,-2.215,20.000,1.301,177.000,263.000,4181.000,1032.000,10.997,77.675,Carnivorous,Afrotropic,910756.111,"Dean, W. R. J. (1995) Where birds are rare or fill the air: the protection of the endemic and the nomadic avifaunas of the Karoo. PhD thesis, Zoology Dept, University of Cape Town.",Birds
Cistothorus platensis,6641419.252,6.822,9.040,0.956,0.500,-0.301,101.300,2.006,122.000,840.000,4803.000,383.000,11.511,54.692,Carnivorous,Neotropic,4753127.072,"Cresswell et al. (1999) Densities and habitat preferences of Andean cloud-forest birds in pristine and degraded habitats in north-eastern Ecuador. Bird Conservational Internetional, 9, 29-145",Birds
Clamator jacobinus,16117678.710,7.207,79.370,1.900,0.013,-1.886,100.000,2.000,247.000,866.000,2491.000,552.000,11.527,65.521,Carnivorous,Afrotropic,12232049.600,"Tarboton, W. R. (1980) Avan populations in the Transvaal savanna. Proc. IV Pan-Afr. Orn. Congr. 113-124.",Birds
Clamator levaillantii,9853040.520,6.994,122.000,2.086,0.013,-1.886,100.000,2.000,238.000,958.000,1877.000,669.000,11.671,64.921,Carnivorous,Afrotropic,9852839.155,"Tarboton, W. R. (1980) Avan populations in the Transvaal savanna. Proc. IV Pan-Afr. Orn. Congr. 113-124.",Birds
Clypicterus oseryi,614905.300,5.789,137.700,2.139,0.060,-1.222,97.000,1.987,259.000,2392.000,487.000,209.000,11.982,40.083,Carnivorous,Neotropic,614916.008,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Coccycua minuta,8753984.331,6.942,39.300,1.594,0.004,-2.398,2.500,0.398,259.000,2135.000,533.000,182.000,11.986,45.375,Carnivorous,Neotropic,8749019.619,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Cochlearius cochlearius,11698022.500,7.068,643.210,2.808,0.005,-2.301,97.000,1.987,256.000,1895.000,639.000,210.000,11.966,48.658,Carnivorous,Neotropic,11663334.130,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Coeligena lutetiae,63339.491,4.802,7.290,0.863,1.000,0.000,101.300,2.006,125.000,1422.000,290.000,2840.000,11.403,35.417,Herbivorous,Neotropic,63339.393,"Cresswell et al. (1999) Densities and habitat preferences of Andean cloud-forest birds in pristine and degraded habitats in north-eastern Ecuador. Bird Conservational Internetional, 9, 29-145",Birds
Coereba flaveola,10806795.130,7.034,10.010,1.000,0.065,-1.190,2.500,0.398,252.000,1722.000,758.000,269.000,11.902,50.575,Herbivorous,Neotropic,10795415.980,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Colaptes pitius,428385.750,5.632,159.000,2.201,0.200,-0.699,25.000,1.398,77.000,1049.000,3720.000,763.000,11.573,55.142,Carnivorous,Neotropic,424775.841,"Ralph, C.J. 1985. Habitat association patterns of forest and steppe birds of northern Patagonia, Argentina. Condor 87:471-483.",Birds
Colaptes rubiginosus,2243438.312,6.351,55.790,1.747,3.600,0.556,0.250,-0.602,246.000,1849.000,661.000,389.000,11.937,53.667,Carnivorous,Neotropic,2239909.725,"Thiollay, J-M. (1992) Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Colius striatus,8057078.255,6.906,51.100,1.708,0.125,-0.903,100.000,2.000,236.000,1040.500,1197.000,722.000,11.748,62.754,Herbivorous,Afrotropic,8056584.089,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Columba guinea,10563554.400,7.024,352.000,2.547,0.014,-1.849,20.000,1.301,253.000,691.000,2090.000,606.000,11.454,67.808,Herbivorous,Afrotropic,10516200.340,"Dean, W. R. J. (1995) Where birds are rare or fill the air: the protection of the endemic and the nomadic avifaunas of the Karoo. PhD thesis, Zoology Dept, University of Cape Town.",Birds
Columbina minuta,7050022.891,6.848,32.590,1.513,0.018,-1.745,2.500,0.398,249.000,1458.000,1018.000,301.000,11.842,53.550,Herbivorous,Neotropic,7043855.193,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Conioptilon mcilhennyi,146134.901,5.165,90.000,1.954,0.010,-2.000,97.000,1.987,251.000,1927.000,634.000,343.000,11.997,46.458,Herbivorous,Neotropic,146139.085,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Conirostrum sitticolor,300021.541,5.477,11.900,1.076,0.200,-0.699,101.300,2.006,144.000,1133.000,478.000,2615.000,11.523,42.933,Omnivorous,Neotropic,300017.094,"Cresswell et al. (1999) Densities and habitat preferences of Andean cloud-forest birds in pristine and degraded habitats in north-eastern Ecuador. Bird Conservational Internetional, 9, 29-145",Birds
Conirostrum speciosum,7569053.653,6.879,8.800,0.944,0.006,-2.222,2.500,0.398,248.000,1490.000,1150.000,268.000,11.864,53.242,Carnivorous,Neotropic,7567250.594,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Conopias parvus,3214749.135,6.507,21.000,1.322,0.007,-2.155,2.500,0.398,261.000,2483.000,457.000,137.000,11.992,43.492,Carnivorous,Neotropic,3213320.985,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Conopophaga aurita,3258767.914,6.513,26.300,1.420,0.024,-1.620,2.500,0.398,261.000,2411.000,461.000,126.000,11.994,41.608,Carnivorous,Neotropic,3256799.702,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Conopophaga peruviana,1098607.654,6.041,23.000,1.362,0.060,-1.222,97.000,1.987,257.000,2383.000,480.500,191.000,11.991,39.304,Carnivorous,Neotropic,1098645.128,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Contopus albogularis,114555.316,5.059,9.600,0.982,0.011,-1.979,2.500,0.398,255.000,2471.000,547.000,155.000,12.026,49.958,Carnivorous,Neotropic,114554.857,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Contopus cinereus,5645758.025,6.752,11.600,1.064,0.017,-1.783,2.500,0.398,240.000,1398.000,1442.000,390.000,11.842,54.033,Carnivorous,Neotropic,5639168.412,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Coracias abyssinicus,7043271.977,6.848,102.000,2.009,0.117,-0.933,0.346,-0.461,269.000,839.000,1891.000,433.000,11.505,66.825,Carnivorous,Afrotropic,6904664.017,"Jones, P., Vickery, J., Holt, S. and Cresswell, W. (1996) A preliminary assessment of some factors influencing the density and distribution of palearctic passerine migrants wintering in the Sahel zone of West Africa. Bird Study 43: 73-84.",Birds
Coracias caudatus,8820855.218,6.946,110.000,2.041,0.020,-1.699,100.000,2.000,217.000,782.000,2127.000,1058.000,11.651,66.775,Omnivorous,Afrotropic,8820912.138,"Tarboton, W. R. (1980) Avan populations in the Transvaal savanna. Proc. IV Pan-Afr. Orn. Congr. 113-124.",Birds
Coracina pectoralis,6110180.307,6.786,54.400,1.736,0.100,-1.000,100.000,2.000,236.000,1098.000,1774.000,747.000,11.735,63.283,Carnivorous,Afrotropic,6107459.173,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Corapipo gutturalis,1107385.875,6.044,8.200,0.914,0.032,-1.502,2.500,0.398,260.000,2299.000,571.000,201.000,12.017,50.583,Omnivorous,Neotropic,1106972.993,"Thiollay, J-M. 1992 Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Corvus albus,19536553.840,7.291,524.000,2.719,0.203,-0.694,0.346,-0.461,247.000,927.000,1883.000,539.000,11.644,65.192,Carnivorous,Afrotropic,19056170.290,"Jones, P., Vickery, J., Holt, S. and Cresswell, W. (1996) A preliminary assessment of some factors influencing the density and distribution of palearctic passerine migrants wintering in the Sahel zone of West Africa. Bird Study 43: 73-84.",Birds
